,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,Ketchikan,55.3422,-131.6462,44.44,81,100,10.11,US,1571594400
159,Kodiak,39.9519,-94.7572,62.71,57,56,19.13,US,1571594400
160,Airai,-8.9266,125.4092,69.79,86,32,3.87,TL,1571594400
161,Norman Wells,65.2824,-126.8328,27.07,92,99,2.84,CA,1571594400
162,Majene,-3.5403,118.9707,82.37,73,20,1.43,ID,1571594400
163,Caravelas,-17.7297,-39.2661,78.59,74,93,13.87,BR,1571594400
164,Northam,-31.6536,116.6727,61.07,91,60,4.81,AU,1571594400
165,Kahului,20.8894,-156.4728,78.72,76,100,16.58,US,1571594400
166,Palana,59.0828,159.9513,30.71,95,100,19.91,RU,1571594400
167,Torbay,47.6577,-52.727,48.51,79,62,9.08,CA,1571594400
168,Huarmey,-10.0688,-78.1522,61.89,89,99,16.02,PE,1571594400
169,Sambava,-14.2667,50.1667,67.63,89,54,2.15,MG,1571594400
170,Kovdor,67.563,30.4741,17.55,92,29,4.18,RU,1571594400
171,Bemidji,47.4787,-94.8909,55.1,51,36,6.11,US,1571594400
172,Grindavik,63.8424,-22.4338,47.09,93,100,25.68,IS,1571594400
173,Hobyo,5.3505,48.5268,81.16,72,33,9.84,SO,1571594400
174,Sinnamary,5.3772,-52.9574,81.22,81,44,11.65,GF,1571594400
175,Narsaq,60.9127,-46.0453,43.3,87,31,1.19,GL,1571594400
176,Kampene,-3.5943,26.6683,69.84,97,83,1.81,CD,1571594400
177,Chuy,-33.6938,-53.4562,60.3,69,67,10.13,UY,1571594400
178,Tuatapere,-46.1324,167.6908,48.33,65,53,24.2,NZ,1571594400
179,Kudat,6.8895,116.8431,83.59,77,40,14.9,MY,1571594400
180,Pozo Colorado,-23.4924,-58.7973,89.39,43,82,3.06,PY,1571594400
181,Rome,41.8933,12.4829,67.64,85,75,8.7,IT,1571594400
182,Bom Jesus,-9.0752,-44.3557,100.28,23,95,3.4,BR,1571594400
183,Capoterra,39.1763,8.9718,68.58,82,63,7.54,IT,1571594400
184,Kuching,1.5574,110.344,76.68,94,100,0.89,MY,1571594400
185,Arraial do Cabo,-22.9663,-42.0245,73.99,74,76,17.74,BR,1571594400
186,Maralal,1.1,36.7,69.41,62,26,21.32,KE,1571594400
187,Seoul,37.5667,126.9783,62.44,60,0,5.19,KR,1571594400
188,Luzhou,28.8871,105.4463,66.19,82,96,0.47,CN,1571594400
189,Nishihara,35.7387,139.5312,68.47,51,100,6.8,JP,1571594400
190,Keetmanshoop,-26.5724,18.1453,83.38,14,45,22.7,NA,1571594400
191,Bay-Khaak,51.1601,94.4652,31.38,61,100,1.61,RU,1571594400
192,Nampa,43.5737,-116.5597,47.11,47,34,11.65,US,1571594400
193,Oranjemund,-28.552,16.4284,59.6,92,0,11.77,ZA,1571594400
194,Cervo,-22.1856,-46.2383,80.77,51,59,9.04,BR,1571594400
195,Talara,-4.5797,-81.2719,64.75,88,31,19.57,PE,1571594400
196,Aksay,51.1739,53.0115,40.2,60,73,7.9,KZ,1571594400
197,Raudeberg,61.9875,5.1352,47.63,76,22,20.76,NO,1571594400
198,Garoua,9.3071,13.3935,78.91,77,16,4.88,CM,1571594400
199,Mamlyutka,54.9375,68.5394,25.42,58,0,4.88,KZ,1571594400
200,Bambous Virieux,-20.3428,57.7575,73.02,84,90,13.22,MU,1571594400
201,Luderitz,-26.6481,15.1594,58.72,80,0,26.42,NA,1571594400
202,Shishou,29.7226,112.419,64.73,54,52,4.97,CN,1571594400
203,Russell,38.8953,-98.8599,68.4,34,100,15.14,US,1571594400
204,Constitucion,23.9912,-104.675,70.75,49,43,5.64,MX,1571594400
205,Oskemen,49.9565,82.6119,25.06,74,40,13.09,KZ,1571594400
206,Yaan,7.3833,8.5667,77.44,88,54,6.44,NG,1571594400
207,Ust-Nera,64.5664,143.2378,4.74,96,68,1.21,RU,1571594400
208,Monroe,41.9145,-83.3969,65.64,52,36,3.44,US,1571594400
209,Gorontalo,0.5384,123.0595,72.99,92,67,1.97,ID,1571594400
210,Salto,-23.199,-47.2914,76.82,51,27,12.93,BR,1571594400
211,Namtsy,62.7182,129.6642,25.08,95,98,4.5,RU,1571594400
212,Kavaratti,10.5669,72.642,82.68,80,100,13.8,IN,1571594400
213,Nanortalik,60.1432,-45.2372,43.2,88,46,4.29,GL,1571594400
214,Mar del Plata,-46.4276,-67.5191,69.93,15,98,33.31,AR,1571594400
215,Guapo,34.4773,109.706,53.93,82,23,1.23,CN,1571594400
216,Coihaique,-45.5753,-72.0662,53.76,92,100,6.58,CL,1571594400
217,Cairns,-16.9205,145.7719,68.16,98,42,1.52,AU,1571594400
218,Buraydah,26.3317,43.9717,84.45,18,37,9.28,SA,1571594400
219,Catuday,16.2923,119.8062,82.14,81,58,8.41,PH,1571594400
220,Iqaluit,63.7494,-68.5219,31.17,69,0,10.36,CA,1571594400
221,Centralina,-18.5844,-49.1955,98.62,22,45,7.4,BR,1571594400
222,Severo-Kurilsk,50.6789,156.125,41.13,69,1,8.1,RU,1571594400
223,Bonavista,48.6542,-53.1104,49.51,75,100,12.62,CA,1571594400
224,Rocha,-34.4811,-54.3366,60.34,72,100,12.41,UY,1571594400
225,Pevek,69.7028,170.2747,27.16,69,100,12.3,RU,1571594400
226,Shache,38.4167,77.2406,52.92,28,4,4.12,CN,1571594400
227,Key Largo,25.0865,-80.4473,87.24,79,24,9.73,US,1571594400
228,Biltine,14.5252,20.9287,94.09,24,20,5.23,TD,1571594400
229,Barra Patuca,15.8,-84.2834,83.97,79,47,16.69,HN,1571594400
230,Puerto Maldonado,-12.5939,-69.1867,84.35,74,79,1.83,PE,1571594400
231,Tucupita,9.0581,-62.0501,87.16,67,77,9.04,VE,1571594400
232,Monteagudo,-19.8029,-63.9552,83.34,33,53,9.69,BO,1571594400
233,Port Hardy,50.6996,-127.4199,46.13,86,100,22.39,CA,1571594400
234,Kendal,-6.9218,110.204,74.07,67,28,2.33,ID,1571594400
235,Saint George,39.4548,22.34,70.22,52,0,0.27,GR,1571594400
236,Tual,-5.6667,132.75,78.88,86,26,14.52,ID,1571594400
237,Pouebo,-20.4,164.5667,65.09,92,83,3.74,NC,1571594400
238,Ostersund,63.1792,14.6357,29.46,95,95,2.1,SE,1571594400
239,Nanakuli,21.3906,-158.1548,80.07,73,1,3.09,US,1571594400
240,Thompson,55.7433,-97.8635,41.0,88,71,10.45,CA,1571594400
241,Takaka,-40.8562,172.809,51.85,99,100,2.91,NZ,1571594400
242,Egvekinot,66.3167,-179.1667,12.71,81,99,13.67,RU,1571594400
243,Ust-Karsk,52.7113,118.8214,26.91,74,95,11.61,RU,1571594400
244,Alexandria,43.9702,25.3288,67.86,48,0,6.04,RO,1571594400
245,Lufilufi,-13.8745,-171.5986,80.82,80,3,14.7,WS,1571594400
246,Kerema,-7.9626,145.7765,77.24,78,96,8.97,PG,1571594400
247,Alice,-32.7889,26.8344,60.57,73,22,6.29,ZA,1571594400
248,Cururupu,-1.8243,-44.873,92.09,46,90,8.39,BR,1571594400
249,Filingue,14.3521,3.3168,92.76,34,63,13.2,NE,1571594400
250,Pochutla,15.7432,-96.4661,85.15,72,79,5.39,MX,1571594400
251,Roald,62.5838,6.1242,45.58,70,18,15.52,NO,1571594400
252,Longford,-41.5937,147.1215,43.88,97,63,2.55,AU,1571594400
253,Beisfjord,68.3751,17.5988,32.14,45,100,4.43,NO,1571594400
254,Khani,41.9563,42.9566,64.74,96,99,1.95,GE,1571594400
255,Vestmannaeyjar,63.4427,-20.2734,46.73,91,100,26.98,IS,1571594400
256,Tautira,-17.7334,-149.15,78.88,81,81,11.79,PF,1571594400
257,Bell Ville,-32.6304,-62.689,72.45,60,85,13.42,AR,1571594400
258,Kapit,2.0165,112.9399,73.62,98,100,1.48,MY,1571594400
259,Trincomalee,8.5764,81.2345,74.76,95,98,6.31,LK,1571594400
260,Otelu Rosu,45.5333,22.3667,62.03,56,0,4.03,RO,1571594400
261,Sioux Lookout,50.1001,-91.9191,53.86,58,0,5.91,CA,1571594400
262,Baykit,61.6784,96.3854,17.08,94,85,3.76,RU,1571594400
263,Presidencia Roque Saenz Pena,-26.7853,-60.4388,61.4,93,100,6.46,AR,1571594400
264,Iralaya,15.0,-83.2334,85.68,85,40,5.41,HN,1571594400
265,Half Moon Bay,37.4636,-122.4286,61.8,65,0,5.64,US,1571594400
266,Progreso,-34.6799,-56.2155,58.91,80,100,19.39,UY,1571594400
267,Pudozh,61.8084,36.536,37.64,95,86,3.24,RU,1571594400
268,Sawakin,19.1031,37.3312,77.01,84,4,5.39,SD,1571594400
269,Tuktoyaktuk,69.444,-133.032,15.91,84,0,19.53,CA,1571594400
270,Hlatikulu,-26.9732,31.3263,84.76,34,44,8.16,SZ,1571594400
271,Nikolskoye,59.7035,30.7861,48.51,95,100,3.83,RU,1571594400
272,Lagoa,37.1363,-8.4541,64.24,65,0,15.52,PT,1571594400
273,Senanga,-16.1041,23.3018,80.46,10,0,3.53,ZM,1571594400
274,Mayor Pablo Lagerenza,-19.9309,-60.7718,96.36,30,27,13.02,PY,1571594400
275,Onokhino,56.925,65.5394,25.76,62,6,11.07,RU,1571594400
276,Pisco,-13.71,-76.203,68.95,87,100,28.9,PE,1571594400
277,Cayenne,4.9371,-52.3259,86.8,62,61,7.99,GF,1571594400
278,Yantal,56.8461,105.2493,22.93,85,36,2.01,RU,1571594400
279,Mitsamiouli,-11.3848,43.2844,81.1,76,0,2.73,KM,1571594400
280,Iquitos,-3.749,-73.2459,81.56,70,100,2.62,PE,1571594400
281,Provideniya,64.4238,-173.2276,23.53,88,100,8.03,RU,1571594400
282,Vawkavysk,53.1546,24.4488,59.56,82,1,5.59,BY,1571594400
283,Beringovskiy,63.05,179.3167,17.39,87,84,5.93,RU,1571594400
284,Hinton,53.4047,-117.5703,34.15,51,81,4.92,CA,1571594400
285,Kaitangata,-46.2818,169.8464,45.0,95,98,6.38,NZ,1571594400
286,Beloha,-25.1739,45.0615,73.84,59,0,3.91,MG,1571594400
287,Leningradskiy,69.3833,178.4167,25.35,94,100,25.28,RU,1571594400
288,Qaanaaq,77.484,-69.3633,2.05,54,0,9.08,GL,1571594400
289,Tarko-Sale,64.9225,77.785,28.68,42,98,22.68,RU,1571594400
290,East London,-33.0153,27.9116,59.51,78,1,5.46,ZA,1571594400
291,Kuytun,54.3442,101.5062,26.03,77,30,2.73,RU,1571594400
292,Manono,-7.2982,27.3965,69.86,91,92,1.88,CD,1571594400
293,Sarankhola,22.3082,89.7897,76.75,77,4,3.69,BD,1571594400
294,Inhambane,-23.866,35.3844,74.41,73,0,11.12,MZ,1571594400
295,Isangel,-19.55,169.2667,76.62,83,83,13.09,VU,1571594400
296,Cockburn Town,21.4612,-71.1419,84.12,75,100,12.57,TC,1571594400
297,Aklavik,68.2183,-135.0136,15.26,96,99,7.47,CA,1571594400
298,Koboko,3.4097,30.9604,65.99,97,69,4.72,UG,1571594400
299,Los Llanos de Aridane,28.6585,-17.9183,71.57,78,6,7.27,ES,1571594400
300,Hami,42.8354,93.5128,45.27,22,0,2.73,CN,1571594400
301,Alquizar,22.8069,-82.5858,88.97,62,49,7.02,CU,1571594400
302,Verkhnyaya Inta,65.9884,60.3234,31.79,99,100,8.23,RU,1571594400
303,Westport,41.1415,-73.3579,57.6,67,99,5.28,US,1571594400
304,Laem Sing,12.483,102.0687,82.33,83,89,5.79,TH,1571594400
305,Lere,9.6587,14.2251,79.71,75,51,4.27,TD,1571594400
306,Isetskoye,56.4858,65.3226,23.06,75,0,11.32,RU,1571594400
307,Geraldton,49.7189,-86.9494,53.28,66,0,3.94,CA,1571594400
308,Mabaruma,8.1986,-59.7817,87.1,70,71,4.54,GY,1571594400
309,Chico,39.7285,-121.8375,60.3,39,18,5.93,US,1571594400
310,Fairbanks,64.8378,-147.7167,27.46,92,99,2.15,US,1571594400
311,Trairi,-3.278,-39.2679,92.76,40,68,11.27,BR,1571594400
312,Crib Point,-38.3524,145.203,52.85,82,100,9.69,AU,1571594400
313,Clyde River,70.4692,-68.5915,22.84,87,100,3.89,CA,1571594400
314,Byron Bay,-28.65,153.6167,61.23,92,19,3.96,AU,1571594400
315,Yar-Sale,66.8333,70.8333,27.51,95,100,10.02,RU,1571594400
316,Dakar,14.6934,-17.448,88.05,75,0,18.97,SN,1571594400
317,Port Hedland,-20.3112,118.5801,78.95,33,84,8.68,AU,1571594400
318,San Quintin,17.5427,120.5203,72.4,88,0,4.65,PH,1571594400
319,Maryville,35.7565,-83.9705,72.0,58,71,0.89,US,1571594400
320,Bethel,60.7922,-161.7559,33.43,97,100,5.21,US,1571594400
321,Placido de Castro,-10.3353,-67.1856,78.07,83,99,1.79,BR,1571594400
322,Rivadavia,-31.5302,-68.5944,56.65,37,0,7.47,AR,1571594400
323,Rio Grande,-32.0335,-52.0992,65.0,63,78,12.57,BR,1571594400
324,Esperance,-33.8583,121.8932,65.88,81,0,19.39,AU,1571594400
325,Bad Rappenau,49.2393,9.1013,56.28,95,74,2.95,DE,1571594400
326,Rock Sound,24.9,-76.2,82.93,79,100,9.4,BS,1571594400
327,Pawican,12.0741,123.9706,82.55,78,7,11.79,PH,1571594400
328,Maldonado,-34.9088,-54.9583,60.42,78,100,18.21,UY,1571594400
329,Barcelos,-0.973,-62.9257,92.65,49,92,3.22,BR,1571594400
330,Asadabad,34.7826,48.1218,52.97,74,63,1.12,IR,1571594400
331,Homer,59.6441,-151.5402,43.36,84,100,19.1,US,1571594400
332,Pontiac,42.6389,-83.2911,65.26,57,68,2.89,US,1571594400
333,Dwarka,28.5772,77.0443,83.13,20,0,2.62,IN,1571594400
334,Indian Head,50.5333,-103.6667,46.59,44,53,12.44,CA,1571594400
335,Karratha,-20.7371,116.8479,76.97,36,48,9.28,AU,1571594400
336,Kannur,11.8762,75.3738,82.68,72,100,6.55,IN,1571594400
337,Eldorado,-24.5226,-48.1094,67.75,66,90,4.68,BR,1571594400
338,Ebeltoft,56.1997,10.6821,52.49,88,87,5.82,DK,1571594400
339,Kruisfontein,-34.0034,24.7314,59.28,92,16,12.86,ZA,1571594400
340,Misratah,32.3754,15.0925,74.83,67,1,14.97,LY,1571594400
341,Mount Gambier,-37.8302,140.7843,50.43,78,1,3.31,AU,1571594400
342,Santa Vitoria do Palmar,-33.5189,-53.3681,61.76,72,80,11.63,BR,1571594400
343,Sumbe,-11.202,13.8397,80.55,85,14,7.92,AO,1571594400
344,Chaihe,44.7651,129.682,40.66,63,33,8.52,CN,1571594400
345,Yingcheng,30.9303,113.5654,66.82,45,76,4.41,CN,1571594400
346,Smirnykh,49.7424,142.832,34.58,89,90,2.68,RU,1571594400
347,Dunedin,-45.874,170.5035,46.69,87,83,19.46,NZ,1571594400
348,Komsomolskiy,67.5537,63.776,22.61,95,98,10.13,RU,1571594400
349,Zarya,44.8923,37.4748,65.67,70,21,14.16,RU,1571594400
350,Toora-Khem,52.4675,96.11,24.19,88,94,2.71,RU,1571594400
351,Urengoy,65.9642,78.368,26.44,68,100,19.6,RU,1571594400
352,Ilulissat,69.2167,-51.1,27.43,67,89,9.69,GL,1571594400
353,Agadez,16.9726,7.9907,92.28,27,99,4.72,NE,1571594400
354,Vao,59.1018,26.1904,49.74,94,100,8.59,EE,1571594400
355,Miraflores,-16.3942,-71.5224,77.13,31,0,15.64,PE,1571594400
356,Juneau,58.3019,-134.4198,39.49,75,41,3.4,US,1571594400
